,trailingEps,forwardEps,enterpriseToRevenue,ebitda,returnOnAssets,returnOnEquity,debtToEquity,heldPercentInstitutions,priceToBook,enterpriseValue,marketCap,operatingCashflow,averageVolume,trailingPE,forwardPE,HistoricalReturn,HistoricalReturnRisk,PricePerShare
BGA.AX,0.156,0.29,0.457,147200000.0,0.021300001,0.01914,33.492,0.527,0.8240809,1375701120.0,1011969856.0,158200000.0,803059.0,21.41025586005969,11.517241083342455,0.24338026633769116,0.5349951778260795,3.3399999141693115
BFG.AX,0.146,,-0.893,,0.02592,0.16078,38.215,0.00954,1.375,-238031104.0,317536576.0,165578000.0,143305.0,,,0.373375582525574,0.3152713528305188,0.9900000095367432
BGL.AX,-0.011,0.01,1944.849,-15423000.0,-0.03462,-0.06222,0.288,0.57131,3.4280303,688476480.0,950195648.0,-11261000.0,1753936.0,-82.27272467179732,90.49999713897705,1.1785845268996233,3.3726904197362235,0.9049999713897705
BEN.AX,0.477,0.76,8.485,,0.00537,0.07472,,0.22356,0.78501886,14412085248.0,5019276288.0,-11616700416.0,1961962.0,18.763102325503432,11.77631553850676,0.16698031189632648,0.17599436690616677,8.949999809265137
BHP.AX,1.772,3.97,3.122,37647998976.0,0.20175,0.42924,37.428,0.31857002,4.4945216,204239798272.0,220109225984.0,32174000128.0,11090174.0,24.537245791329756,10.952140942628798,0.17086005482725325,0.219036408411248,43.47999954223633
BIN.AX,,,,,,,,,,,,,,,,,,
BKL.AX,1.018,2.9,1.897,72931000.0,0.06206,0.0979,6.177,0.3027,3.67479,1235089152.0,1365035392.0,48243000.0,30575.0,69.17485085358085,24.282757989291486,0.5908691424419232,1.7809695893406432,70.41999816894531
BSL.AX,0.475,2.96,0.417,4197400064.0,0.15787,0.32028,12.592,0.3522,1.2882361,7930510848.0,8299272704.0,2472000000.0,1752298.0,35.64210590563322,5.719594697694521,0.3020561289735226,0.44537799916458526,16.93000030517578
BLD.AX,-0.912,0.19,1.15,294800000.0,0.00799,-0.00545,83.452,0.1065,0.8205269,3399584256.0,3298239232.0,260800000.0,2167705.0,-3.27850878238678,15.736842155456543,0.1397844426214278,0.20582415105041144,2.990000009536743
BXB.AX,0.396,0.59,3.146,1700700032.0,0.09317,0.22278,117.315,0.46799,6.04868,18353467392.0,16756127744.0,1585799936.0,4375626.0,29.494950265595406,19.796610686738614,0.1208324428866897,0.16342414018647966,11.680000305175781
BVS.AX,0.118,0.16,1.078,49274000.0,0.04536,0.090050004,9.132,0.59857,0.6234915,287383424.0,192474352.0,42082000.0,2178385.0,6.5677964081198486,4.843749850988388,0.2769132289125426,0.5963872971263191,0.7749999761581421
BRG.AX,0.599,0.88,1.979,166084000.0,0.1001,0.18863001,36.158,0.48654,5.6205626,2807652608.0,2757934592.0,-42153000.0,438864.0,33.038398857307754,22.488637404008344,0.28277357150997895,0.2924889833744988,19.790000915527344
BKW.AX,2.072,1.37,3.986,93325000.0,0.0063899998,0.30306,34.922,0.52903,1.333967,4357114368.0,3194884608.0,130486000.0,215892.0,10.159266041052387,15.364962946759523,0.1605636605896251,0.17130347906246335,21.049999237060547
BUB.AX,-0.023,-0.01,3.571,-8387086.0,-0.0591,-0.12986,5.576,0.03474,1.4372469,318893888.0,217535472.0,-9373837.0,2350279.0,-15.434782142224519,-35.499998927116394,0.5658963835653886,1.6275536337066305,0.35499998927116394
BWP.AX,0.341,0.19,19.367,,0.02819,0.21145001,18.324,0.27979,1.265625,2968316416.0,2601655296.0,111036000.0,973574.0,11.876833403914555,21.31579047755191,0.19707498351158798,0.11520387183178113,4.050000190734863
BWX.AX,0.157,0.21,0.782,27731000.0,0.023699999,0.03402,24.526,0.40826,0.2607616,166448528.0,101359440.0,18444000.0,39263.0,,,0.3899262051817684,0.8207857217310908,
BYE.AX,0.0,-0.01,3.054,39018636.0,0.113929994,0.23792,21.107,0.00046,1.7567567,162282240.0,135238992.0,36612408.0,535777.0,inf,-12.999999523162842,0.0803742316061082,0.7106082426979586,0.12999999523162842
CAN.AX,-0.108,0.3,11.218,-19791000.0,-0.12553,-0.29945,55.552,0.00032000002,0.61518323,126062696.0,81980696.0,-20433000.0,325091.0,-2.175925920406977,0.7833333313465118,0.3511771292986026,1.6665799495335318,0.23499999940395355
CAJ.AX,0.004,0.02,2.241,30843000.0,0.04553,0.0731,52.716,0.49725,2.1985815,412679776.0,323088224.0,32860000.0,856482.0,77.50000059604645,15.50000011920929,0.5015406064753996,0.9891043540203008,0.3100000023841858
CDV.AX,,,,,,,,,,,,,,,,,,
CDD.AX,0.036,0.1,-2.691,-336000.0,-0.00656,-0.19962999,0.03,0.66625,0.6801737,-28614096.0,18358012.0,-21725000.0,41764.0,13.055555522441866,4.699999988079071,0.2101518137516561,1.0176667234265147,0.4699999988079071
CDP.AX,-1.536,0.36,10.556,,0.02574,0.13397,48.053,0.68738997,0.6757819,560159424.0,318707840.0,28091000.0,16642.0,-2.79947929084301,11.94444497426351,0.10065239252089808,0.13991485483737398,4.300000190734863
CAR.AX,0.57,0.88,16.047,237378000.0,0.092259996,0.16525999,70.472,0.39188,5.98434,8169289728.0,7518440448.0,203643008.0,1021181.0,37.543858979877676,24.318181384693492,0.21113358567568685,0.2493011621891293,21.399999618530273
CCV.AX,0.02,0.03,0.96,,0.02339,0.0353,42.233,0.22508,0.4803922,221099200.0,153748528.0,7909000.0,152633.0,12.250000238418579,8.166666825612387,-0.04257521954270572,0.24208665063759538,0.24500000476837158
CAT.AX,-0.049,0.03,2.182,-25838000.0,-0.14574,-0.34515998,2.625,0.20459999,2.0971565,168034608.0,205253616.0,2673000.0,105335.0,-18.061224295168508,29.499999682108562,0.34420800093730985,0.8438743251145558,0.8849999904632568
CCX.AX,0.057,0.2,0.939,41299000.0,0.06963,0.11323,22.446,0.49098998,1.7600001,347284960.0,306134400.0,-51894000.0,1902874.0,23.157895657054166,6.600000262260437,0.79188502552054,1.8962737476059792,1.3200000524520874
CCL.AX,,,,,,,,,,,,,,,,,,
CDA.AX,0.413,0.66,1.494,143350000.0,0.15776,0.29939,22.351,0.09742,2.722372,756033152.0,,51721000.0,860492.0,9.782082232089655,6.121212063413678,0.4200690910380128,0.8599823101350638,4.039999961853027
CBA.AX,4.501,5.17,9.841,,0.00838,0.12767,,0.26625,2.54041,250274594816.0,183436918784.0,-56498999296.0,2482076.0,23.8835814263497,20.79303675048356,0.17216796192992737,0.12557220334688485,107.5
CCP.AX,0.286,1.62,3.748,,0.11472,0.14309,21.328,0.41446,2.1068218,1400112256.0,1351219456.0,-100296000.0,222639.0,69.6503499171117,12.296296343391324,0.2587625439686567,0.32736423769185413,19.920000076293945
A2M.AX,0.402,0.21,2.252,190976000.0,0.07182,0.10074,10.415,0.2228,3.867334,3251499008.0,4595800064.0,203800000.0,3696848.0,15.373133901339857,29.4285706111363,0.7362082931183394,1.2595092828016552,6.179999828338623
CEN.AX,0.186,,2.539,487200000.0,0.03288,0.06312,38.697,0.25799,1.9203414,6059793408.0,5259086848.0,400000000.0,9231.0,,,0.19294030992645594,0.16293064490934775,6.75
CGC.AX,0.152,0.22,1.591,177806000.0,0.03416,0.07162,122.426,0.37486,1.8720218,2095042816.0,1277042304.0,148779008.0,1613612.0,18.092105263157894,12.5,0.23159132944696614,0.5333578834928386,2.75
CGF.AX,-0.651,0.46,-9.175,-348700000.0,-0.0074199997,0.06493,154.813,0.27857,1.3681593,-4618787840.0,4848887296.0,2486799872.0,1438827.0,-10.98310306508054,15.543478468190068,0.2016735265721412,0.34622087604578167,7.150000095367432
CGL.AX,,,,,,,,,,,,,,,,,,
CHC.AX,0.444,0.91,3.237,1131299968.0,0.18747,0.31961,15.816,0.52157,2.9303634,5394607616.0,18933821440.0,603800000.0,1452120.0,30.518018447601044,14.890110099708641,0.3384445021175914,0.15410130007510534,13.550000190734863
CIA.AX,0.721,0.74,2.552,482948000.0,0.13332,0.22249001,45.93,0.37379003,5.666356,2971820032.0,3079471360.0,163744992.0,2275010.0,8.432732210410617,8.21621611311629,0.6099427556047933,0.8894773422088742,6.079999923706055
CII.AX,0.031,,0.263,12840000.0,0.01348,0.042969998,29.817,0.00438,0.7202134,141906064.0,140430912.0,-60771000.0,4360.0,,,0.1987443275489139,0.3719617157324242,
CIM.AX,,,,,,,,,,,,,,,,,,
CIP.AX,0.335,0.19,15.94,,0.02296,0.15275,51.47,0.51148,0.7365439,3308147456.0,1980984704.0,111929000.0,1334475.0,9.313432494206214,16.421052029258327,0.26519908388110836,0.18966179083871523,3.119999885559082
CKF.AX,0.47,0.56,1.547,156576992.0,0.05748,0.14495,190.173,0.29525,2.9952552,1832003968.0,1183659392.0,156334000.0,262684.0,21.48936251376538,18.035714966910223,0.3994648186953962,0.3837932721784536,10.100000381469727
CL1.AX,,,,,,,,,,,,,,,,,,
CLH.AX,-0.76,0.16,1.629,-17382000.0,-0.105399996,-4.70894,,0.019550001,0.15525115,88656232.0,9623837.0,2352000.0,0.0,,,-0.005797165969834625,0.4696910786230644,
CLQ.AX,,,,,,,,,,,,,,,,,,
CLV.AX,0.062,0.07,2.807,11679000.0,0.08206,0.117460005,19.159,0.2981,3.6458335,198365392.0,203887792.0,6582000.0,86788.0,19.758064900675127,17.500000340597968,0.24313045561915914,0.46910198074695714,1.225000023841858
CLW.AX,0.483,0.32,6.696,,0.07576,0.23571,43.459,0.48966998,0.92687076,5023771648.0,9396367360.0,187674000.0,2105485.0,9.026915390298974,13.625000417232513,0.17667381897337953,0.1836075069054045,4.360000133514404
CMW.AX,0.038,0.07,7.467,288700000.0,0.0356,0.09792,80.863,0.15008001,24.48276,3647040768.0,5575211008.0,175200000.0,2645880.0,18.684209961640207,10.142856836318968,0.20021938186527716,0.14820963184062774,0.7099999785423279
CNI.AX,0.046,0.15,7.33,170818000.0,0.04025,-0.02488,46.58,0.28407,4.523227,2196803328.0,4385443840.0,171600992.0,1543616.0,40.217391822649084,12.333333492279053,0.36983904211141966,0.2900367431653604,1.850000023841858
CNU.AX,0.075,0.26,6.562,604000000.0,0.02744,0.06343,314.091,0.40043998,3.9634466,6332099072.0,3422156544.0,570000000.0,618199.0,101.20000203450522,29.192308279184193,0.2367309327868805,0.33396503953948686,7.590000152587891
COE.AX,-0.07,0.01,1.368,38414000.0,-0.0077600004,-0.02562,33.879,0.57552,0.98522174,281052480.0,326546016.0,57782000.0,7871754.0,-2.857142899717603,20.000000298023224,0.03782769596425055,0.5133719882272515,0.20000000298023224
COF.AX,0.043,0.2,10.241,,0.029649999,0.08312,57.695,0.46206,0.64410925,1710374272.0,941114368.0,96030000.0,805310.0,36.74418704454289,7.900000214576721,0.16318390055269058,0.16917542756575987,1.5800000429153442
